timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1777230504,495328,55024,143356,81160,5092,194076,0.0
1777230510,640772,45028,206808,81600,5116,284916,137.33279286582894
1777230516,530224,31616,196744,81600,5092,197868,105.80645161290323
1777230523,605020,27564,204064,81600,5092,269388,129.92964824120602
1777230529,605828,25324,200168,81588,5092,276320,99.76284584980237
1777230535,563472,23192,196932,81588,5092,239328,95.31846493871811
1777230542,564937,22704,196964,81600,5064,241256,95.27258096962382
1777230548,567069,23856,197680,81600,5064,241516,98.18977521384524
1777230555,566521,23564,197408,81600,5068,241516,98.08917197452229
1777230561,563321,22328,196408,81600,4132,241516,92.68485567417952
1777230567,564927,22856,196688,81600,3080,243564,96.30361731567504
1777230574,562679,22668,196776,81600,2984,241516,93.56817732040372
1777230580,563791,22392,196132,81600,2972,243564,98.08119571803677
1777230587,565747,23080,197384,81592,2972,243564,103.3393321335733
1777230593,563175,22412,197260,81600,2972,241772,94.39343621801133
1777230600,574543,22988,197404,81600,2972,252420,105.09164969450102
1777230606,616835,22528,197144,81600,2972,295428,91.66998804304504
1777230612,571087,22236,196744,81600,2972,250372,102.59296482412061
1777230619,574035,22732,197148,81600,2972,252420,96.01910828025477
1777230625,615635,22904,197612,81600,2972,293380,96.07609988109394
1777230631,571938,22592,197224,81600,2972,250372,96.1914257228315
1777230638,571655,22532,197264,81600,2732,250372,93.69369369369369
1777230644,573451,22500,197216,81600,2572,252420,96.45052548086457
1777230651,574003,22668,197600,81600,2572,252420,98.80668257756562
1777230657,571683,22540,197456,81600,2572,250372,91.2057302029447
1777230663,571259,22432,197720,81604,2572,250372,97.36471534902435
1777230670,613967,22508,197336,81600,2572,293380,99.0186260765071
1777230676,571367,22700,197552,81600,2572,250372,94.0990099009901
1777230683,573187,22536,197488,81600,2572,252420,96.67334669338678
1777230689,571003,22440,197444,81600,2572,250372,93.77875575115023
1777230695,573259,22508,197584,81600,2572,252420,98.52295409181637
1777230702,614099,22412,197560,81600,2572,293380,98.70646766169155
1777230708,571027,22192,197636,81600,2572,250372,94.14604707302352
1777230714,571051,22308,197540,81600,2572,250372,95.02099580083984
1777230721,571071,22312,197556,81588,2572,250372,96.2904498816101
1777230727,614851,22680,197956,81588,2572,293380,93.9851136592235
1777230734,573343,22412,197656,81600,2572,252420,90.26052104208416
1777230740,571367,22492,197648,81600,2572,250372,96.57345411579362
1777230746,573527,22336,197996,81600,2572,252420,95.13860988348735
1777230753,571063,22324,197592,81600,2572,250372,97.47089522280208
1777230759,573243,22348,197700,81600,2572,252420,93.99477806788512
1777230766,570963,22292,197528,81600,2572,250372,95.2722920406942
1777230772,571471,22476,197848,81600,2572,250372,97.23493137059876
1777230778,614339,22452,197732,81600,2572,293380,90.014064697609
1777230785,570871,22276,197448,81600,2572,250372,88.81864875543263
1777230791,573735,22460,197988,81600,2572,252420,99.20255183413079
1777230798,571299,22360,197680,81600,2588,250372,94.59783913565425
1777230804,571867,22584,197680,81600,2920,250372,93.72251099560177
1777230810,571495,22216,197676,81600,2908,250372,96.34859794230381
1777230817,558231,22144,192156,81600,2912,242688,95.92906086255543
1777230823,582071,22068,216740,81600,2912,242024,108.86998784933171
1777230829,568563,22264,200856,81600,2912,244200,107.4313408723748
1777230836,568403,22084,201128,81600,2912,243944,98.48605577689243
1777230842,567051,22216,199004,81600,2912,244584,100.74792803719426
1777230848,569807,22204,199584,81600,2912,246772,96.42927599131978
1777230855,566492,22316,196164,81600,2912,246772,96.96006358036956
1777230861,566431,22320,196272,81600,2736,246772,94.57891578315663
1777230868,611107,22220,196080,81600,2656,291828,92.74193548387096
1777230874,566319,22128,196552,81600,2644,246772,91.74825174825175
1777230880,609175,22220,196304,81600,2644,289780,96.52121455861653
1777230887,608879,22104,196124,81600,2644,289780,91.8506623845845
1777230893,567227,22268,196800,81600,2644,247284,97.56493506493507
1777230899,566359,22088,196116,81600,2644,247284,89.91446190570917
1777230906,568455,22060,196188,81604,2644,249332,90.97850110508338
