timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1779984389,419431,56492,125776,77504,3060,139248,0.0
1779984395,559050,39492,213136,78480,3124,206460,0.0
1779984401,709675,62104,282164,80672,3340,262376,0.17448200654307525
1779984406,592549,40988,262864,80808,3360,185468,0.0
1779984412,559813,32192,250008,80812,3364,174324,0.17346053772766695
1779984418,641690,48020,288332,82032,3396,199884,0.0
1779984424,595598,32520,284340,82028,3404,173260,0.17312270071413113
1779984436,617870,33296,292604,82100,3432,186236,0.0
1779984442,615110,31592,290668,82100,3444,187068,0.6915928247244435
1779984448,666985,31936,290984,82100,3332,238396,0.3356408642752255
1779984454,612461,31468,290180,82100,3312,185148,0.0
1779984460,614417,30840,289848,82100,3296,188056,0.0
1779984466,627137,33224,298064,82108,3296,190132,0.0
1779984472,626313,32828,297848,82108,3308,189876,0.1716001716001716
1779984478,618685,32636,296484,82112,3156,183988,0.0
1779984484,628557,33612,298408,81604,3156,191332,0.0
1779984489,625209,34900,299616,81596,3156,185468,0.0
1779984495,621813,33448,298560,81604,3156,184532,0.17289820618111088
1779984501,628933,33300,299532,81604,3156,190808,0.0
1779984507,621729,33196,298668,81604,3156,184532,0.0
1779984513,622701,33528,299420,81608,3156,184392,0.0
1779984525,621797,32948,298908,82112,3156,183988,0.0
1779984531,621841,33048,298816,82116,3156,184120,0.172488141440276
1779984537,622597,33164,299564,82100,3156,183988,0.0
1779984543,621779,32600,299544,82100,3156,183728,0.17271157167530224
1779984549,621607,32848,298844,82100,3156,183988,0.0
1779984555,623423,33120,299276,82112,3160,185056,0.0
1779984561,622695,32840,298816,82112,3160,185056,0.0
1779984567,636679,34648,302540,82116,3032,193656,0.17357344326318075
1779984573,633895,34028,300364,82100,3032,193656,0.0
1779984578,666499,34340,300384,82112,3032,225904,0.0
1779984584,631255,32188,300604,81608,3032,193004,0.0
1779984590,633263,32760,301748,81600,3032,193264,0.17578554163920018
1779984596,631903,31768,300412,81600,3032,194200,0.0
1779984602,632255,32012,300656,81600,3032,194068,0.0
1779984614,632939,31836,301356,82104,3032,193784,0.0
1779984620,631131,31236,300276,82104,3032,193656,0.0
1779984626,630791,30452,300560,82116,3032,193784,0.17429193899782133
1779984632,644015,43724,300500,82116,3032,193784,0.0
1779984638,650127,44852,305612,82116,3032,193652,0.0
1779984644,634107,31152,304340,82116,3032,192584,0.5156854318865491
1779984649,635548,31900,304144,82272,3108,192716,0.34379028792436617
1779984655,633628,30648,303444,82272,3108,192716,0.0
1779984661,633328,30588,303320,82276,3108,192588,0.1724137931034483
1779984667,635136,30792,303976,82272,3108,193524,0.0
1779984673,640348,30308,303392,82272,3108,199796,0.17123287671232876
1779984679,636760,31272,304176,82272,3108,194456,0.0
1779984685,635244,30424,305120,81768,3108,193260,0.0
1779984697,640156,29996,304256,81768,3132,199404,0.1738752445120626
1779984703,634780,30348,304632,81768,3132,193292,0.0
1779984709,634648,30036,305076,81768,3132,193020,0.3436426116838488
1779984715,634216,30068,304184,82272,3132,193020,0.0
1779984721,634080,30164,304212,82280,3132,192748,0.1707941929974381
1779984727,634004,30128,304152,82284,3132,192748,0.0
1779984733,633752,29796,304232,82284,3132,192748,0.17342293518317797
1779984739,634879,30636,304512,82284,3132,192748,0.0
1779984745,635711,31440,304724,82284,3088,192616,0.0
1779984751,640563,31680,305972,82284,2980,196860,0.0
1779984757,640143,31896,305452,82288,2980,196728,0.0
1779984763,640367,31752,305940,82272,2980,196600,0.8731717965509713
1779984768,640539,32160,305684,82272,2980,196600,0.3454231433506045
1779984774,640755,32432,305492,82272,2980,196728,0.0
1779984786,648151,32296,306964,81768,2980,203004,0.0
1779984792,640455,32264,305480,81768,2948,196860,0.0
1779984798,640775,32240,305732,81772,2916,196988,0.0
1779984804,640336,32124,305668,81768,2916,196728,0.0
