timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1780027638,443897,60428,136888,75972,4704,148316,0.0
1780027644,528275,37788,198556,77192,4624,192208,0.0
1780027650,824756,39056,429924,78608,5124,252948,0.17586282699494393
1780027655,780928,43828,439208,78876,5900,193780,0.0
1780027661,691814,33592,428436,79004,5672,126272,0.1694915254237288
1780027667,663177,25700,407628,79004,5736,126272,0.0
1780027673,678619,39464,408772,78996,6132,126272,0.0
1780027679,783411,28432,462408,77668,5932,191276,0.0
1780027685,837675,31480,521728,78284,6104,180680,0.1707941929974381
1780027691,845851,37536,520608,78284,6120,183840,0.0
1780027697,838271,41116,502176,78496,6160,190708,0.175054704595186
1780027703,875287,49548,502164,78596,6112,219152,0.3428326548103707
1780027709,865179,47064,496636,78596,5460,217688,0.3389830508474576
1780027715,838847,45132,498848,78592,5316,191196,0.0
1780027721,867323,47056,498884,78588,5284,217564,0.0
1780027727,855215,46960,497184,78588,5288,207216,0.0
1780027733,861263,46180,497348,78596,4816,214412,0.0
1780027739,863828,47932,503860,78628,4776,208676,0.1693480101608806
1780027745,860640,47588,501196,78632,4592,208680,0.1703940362087327
1780027751,870564,46492,505176,78628,4592,215664,0.0
1780027757,869784,47156,504500,78620,4408,215088,0.0
1780027763,866716,44800,503684,78616,4344,215228,0.0
1780027769,870216,45552,506152,78616,4344,215484,0.16820857863751051
1780027775,865140,46224,493176,78616,4360,222688,0.0
1780027781,853012,43320,490176,78616,4348,216416,0.0
1780027787,852240,47884,492684,78616,4540,208348,0.0
1780027793,847264,43884,491644,78620,4468,208476,0.1687051876845213
1780027799,847652,45164,492020,78616,4468,207156,0.0
1780027805,848536,44820,491904,78616,4468,208476,0.0
1780027811,848248,45248,491576,78616,4468,208068,0.0
1780027816,852872,45048,496500,78628,4468,207940,0.1709767044240222
1780027822,858496,47028,499908,78688,4468,208104,0.0
1780027828,858728,45380,497648,78688,4480,212216,0.0
1780027834,856528,44792,496008,78688,4468,212216,0.0
1780027840,855336,43308,496160,78688,4468,212344,0.1711229946524064
1780027846,853540,41956,496240,78688,4220,212088,0.0
1780027852,857852,45820,496680,78688,4220,212084,0.16995963458678565
1780027858,859192,48524,496488,78692,4220,210892,0.0
1780027864,860400,47648,497196,78676,4232,212216,0.0
1780027870,861472,48360,497560,78676,4220,212212,0.0
1780027876,862404,50112,496436,78680,4476,212212,0.0
1780027882,862136,47940,498500,78688,4464,212212,0.0
1780027888,882772,46356,501648,78688,4464,231264,0.1679613688851564
1780027894,882724,44936,501828,78688,4464,232456,0.0
1780027900,886568,45912,502220,78676,4464,234896,0.16992353440951571
1780027906,892296,44952,509556,78676,4464,234240,0.5094459774994693
1780027912,894776,46744,509188,78676,4464,235288,0.3393425238600212
1780027918,869020,49224,510520,78676,4476,205512,0.17189514396218308
1780027924,849912,45304,503292,78680,4464,197552,0.17323516673884798
1780027930,865020,44476,502808,78676,4464,213936,0.0
1780027936,865708,44932,503168,78676,4344,213936,0.0
1780027942,895468,42864,551512,78676,4328,197420,0.1697792869269949
1780027947,850971,45504,504668,78676,4332,197164,0.0
1780027953,849356,42056,504968,78676,4344,198632,0.0
1780027959,869727,43956,507068,78676,4332,214984,0.0
1780027965,876831,46536,507140,78688,4520,219216,0.0
1780027971,880266,44276,507856,78688,4448,224264,0.0
1780027977,878458,43084,507532,78688,4420,224004,0.17372421281216072
1780027983,883058,47960,507024,78688,4512,224132,0.0
1780027989,862818,46780,508680,78676,4500,203396,0.0
1780027995,881390,45892,507532,78676,4500,224004,0.1689545934530095
1780028001,882494,45824,508564,78676,4500,224132,0.0
1780028007,884298,45008,511024,78676,4512,224264,0.0
1780028013,862650,47568,507308,78676,4500,203780,0.0
1780028019,881202,45356,507584,78676,4500,224260,0.5052631578947369
1780028025,862754,47348,507600,78676,4400,203912,76.0
1780028031,859824,45184,506948,78680,4404,203780,0.16792611251049538
1780028037,879992,45000,506920,78688,4404,224136,0.0
1780028043,869972,46504,507664,78676,4260,211996,0.1686696183849884
1780028049,869396,46164,507432,78676,4248,211996,0.0
1780028055,871220,47520,507564,78676,4568,211996,0.0
1780028061,886296,47436,522988,78688,4424,211864,0.0
1780028067,870088,44632,509456,78688,4424,211996,0.1683147485798443
1780028073,871608,46780,508816,78688,4328,212124,0.0
1780028079,871300,46760,508648,78688,4328,211992,0.0
1780028085,871200,46552,508544,78688,4388,212124,0.0
1780028091,872144,47424,508700,78680,4388,211996,0.17046665246111228
1780028097,881948,48404,509140,78680,4204,220596,0.0
1780028102,880220,47372,508664,78680,4220,220340,0.17017655817911082
1780028108,898868,45000,508960,78680,4208,241076,0.0
1780028114,878184,43772,510232,78680,4208,220340,0.0
1780028120,895808,43088,508228,78692,3912,240944,0.16863406408094433
1780028126,895500,42248,508880,78692,3912,240820,0.0
1780028132,876912,44528,508484,78692,3912,220340,0.0
1780028138,878252,44812,509396,78692,3924,220464,0.0
1780028144,880459,43852,512472,78692,3880,220596,0.0
1780028150,886151,47900,514036,78692,4072,220468,0.0
1780028156,885935,47500,514264,78680,4000,220468,0.0
1780028162,881911,44800,512932,78680,4000,220468,0.16931216931216933
1780028168,899999,43000,512464,78680,4000,240820,0.0
1780028174,881227,44364,512680,78680,4000,220464,0.0
1780028180,889223,43936,512496,78680,4000,229068,0.0
1780028186,892519,44620,515224,78680,4004,228940,0.16760946993505133
1780028192,890043,43380,513848,78680,4016,229064,0.0
1780028198,894255,47108,514252,78692,4056,229068,0.16849199663016007
1780028204,914503,46504,514624,78692,4056,249544,0.0
1780028210,894339,46396,515296,78692,3936,228940,0.0
1780028216,912823,45336,514356,78692,3936,249420,0.3419534088480444
1780028222,890819,44132,514032,78696,3936,228940,0.337126000842815
1780028228,921303,44388,515164,78692,3948,258016,0.0
1780028234,902130,44288,515160,78684,3936,238992,0.33423856277418007
1780028240,915715,50548,520468,78692,4292,240472,0.0
1780028246,899999,38940,516000,78692,4220,240896,0.0
1780028252,920891,35980,518816,78692,4220,261912,0.0
1780028258,894331,32440,517604,78680,4220,240096,0.17006802721088435
1780028264,911815,43744,520488,78692,4220,243352,0.0
1780028270,910159,46380,518632,78692,4220,240916,0.0
1780028276,907339,44384,519280,78692,4220,239428,0.0
1780028282,909999,44636,521516,78684,4384,239424,0.0
1780028288,909323,45232,521304,78692,4360,238360,0.0
1780028294,917019,44216,521412,78692,4360,246960,0.33883947479881404
1780028300,918235,46068,521320,78692,4108,246692,0.0
1780028305,915227,43984,520664,78692,4108,246420,0.0
1780028311,935583,44208,520440,78692,4108,266772,0.0
1780028317,915639,43836,521228,78692,4104,246420,0.0
1780028323,913119,42224,520328,78692,4092,246420,0.0
1780028329,939187,43932,522516,78692,4420,268224,0.16913319238900634
1780028335,915283,41812,521540,78692,4348,247488,0.0
1780028341,913739,40220,521784,78692,4268,247356,1.15990057995029
1780028347,919007,42616,523208,78692,4236,248828,0.0
1780028353,939591,39144,526124,78680,4296,269864,0.0
1780028359,919167,42096,524408,78680,4296,248432,0.16985138004246286
1780028365,931843,36976,521844,78680,4296,268784,0.0
1780028371,912273,43300,516544,78680,4312,248160,0.0
1780028377,905589,38896,514948,78680,4300,247484,0.16909744240118368
1780028383,923509,36860,514552,78680,4300,267832,0.0
1780028389,907189,42164,514796,78684,4004,246288,0.0
1780028395,903125,38140,514636,78680,4004,246156,0.17075773745997866
1780028401,902689,37808,514516,78692,4004,246156,0.0
1780028407,903225,38796,514180,78692,4016,246028,0.0
1780028413,899629,35012,514408,78692,3972,246028,0.16652789342214822
1780028419,907785,42420,514616,78692,4228,246288,0.0
1780028425,908101,42244,515152,78692,4156,246312,0.0
1780028431,901861,37240,514180,78692,4156,246052,0.0
1780028437,907517,41324,515616,78692,4156,246180,0.16701461377870563
1780028443,907373,41492,515296,78692,4156,246184,0.0
1780028449,906553,40972,514868,78692,4156,246312,0.0
1780028455,907245,40828,515680,78680,4156,246312,0.0
1780028461,909561,42068,516740,78680,4168,246312,0.16913319238900634
1780028467,908789,42084,515964,78680,4156,246312,0.0
1780028473,950929,40216,558516,78680,4156,247764,0.1686696183849884
1780028479,911777,42428,518584,78680,3972,246528,0.0
1780028485,911293,42356,518108,78680,4032,246528,0.0
1780028491,914741,45656,518232,78680,4032,246528,0.0
1780028497,915197,38192,524912,78680,4044,247736,0.0
1780028503,916365,44944,521996,78696,4032,245056,0.0
1780028509,913913,43912,520372,78696,4220,245052,0.1697792869269949
1780028515,912681,43536,519580,78696,4148,245052,0.3412969283276451
1780028521,910881,42308,519272,78696,4148,244788,0.3412241416080187
1780028527,912749,43948,519496,78696,4148,244788,0.0
1780028533,915681,46480,519540,78696,4120,245176,0.1718213058419244
1780028539,914785,45548,519572,78696,4120,245176,0.16778523489932887
1780028545,915217,44904,520284,78684,4172,245432,0.8613264427217916
1780028551,923069,45308,525940,78684,4212,247200,0.0
1780028557,914081,45680,521884,78684,4200,241896,0.0
1780028563,910497,43600,521456,78684,4200,240820,0.0
1780028569,912997,46276,521404,78684,4084,240816,0.16938386618674572
1780028575,929965,42728,521304,78684,4084,261428,0.16899028305872413
1780028581,908541,41920,521564,78684,4084,240548,0.0
1780028587,910489,44144,521872,78696,4172,239868,0.0
1780028593,911669,45508,521712,78696,4148,239868,0.16838560303094086
1780028599,909179,43352,520984,78500,4884,239868,0.0
1780028605,912997,47016,521432,78696,4336,239740,0.0
1780028611,910405,44308,521468,78696,4304,239868,0.0
1780028617,909609,43616,521492,78696,4304,239740,0.0
1780028623,910193,44332,521352,78696,4304,239740,0.0
1780028628,911909,45816,521588,78696,4304,239736,0.1682439537329127
