timestamp,total_memory
1765785600,62108
1765785606,311024
1765785612,559940
1765785618,697126
1765785624,703320
1765785630,709514
1765785636,756096
1765785642,806159
1765785648,838422
1765785654,841761
1765785660,845100
1765785666,854995
1765785672,866127
1765785678,870273
1765785684,858240
1765785690,846207
1765785696,858229
1765785702,877769
1765785708,892318
1765785714,889400
1765785720,886482
1765785726,904677
1765785732,932692
1765785738,956960
1765785744,958752
1765785750,960545
1765785756,952527
1765785762,938055
1765785768,925002
1765785774,932869
1765785780,940736
1765785786,955862
1765785792,977588
1765785798,999314
1765785804,1019966
1765785810,1040600
1765785816,1045825
1765785822,1031787
1765785828,1017749
1765785834,1037951
1765785840,1061758
1765785846,1066069
1765785852,1036475
1765785858,1006881
1765785864,1022712
1765785870,1048151
1765785876,1071300
1765785882,1088724
1765785888,1106147
1765785894,1101371
1765785900,1089037
1765785906,1075229
1765785912,1055750
1765785918,1036271
1765785924,1043209
1765785930,1063354
1765785936,1081142
1765785942,1082719
1765785948,1084295
1765785954,1097427
1765785960,1118679
1765785966,1138422
1765785972,1127988
1765785978,1117553
1765785984,1109960
1765785990,1105120
1765785996,1100280
1765786002,1094546
1765786008,1088783
1765786014,1095451
1765786020,1118693
1765786026,1141936
1765786032,1144371
1765786038,1144206
1765786044,1143711
1765786050,1142602
1765786056,1141493
1765786062,1171599
1765786068,1209050
1765786074,1228978
1765786080,1201491
1765786086,1174004
1765786092,1164441
1765786098,1161502
1765786104,1159988
1765786110,1164528
1765786116,1169068
1765786122,1166206
1765786128,1159370
1765786134,1158177
1765786140,1202124
1765786146,1246071
1765786152,1245439
1765786158,1211372
1765786164,1178008
1765786170,1166089
1765786176,1154170
1765786182,1161922
1765786188,1189979
1765786194,1218036
1765786200,1230860
1765786206,1242923
1765786212,1246162
1765786218,1236843
1765786224,1227524
1765786230,1221780
1765786236,1216556
1765786242,1225500
1765786248,1262782
1765786254,1300064
1765786260,1284458
1765786266,1255102
1765786272,1234095
1765786278,1237613
1765786284,1241132
1765786290,1243812
1765786296,1246157
1765786302,1251414
1765786308,1270437
1765786314,1289460
1765786320,1308698
1765786326,1328059
1765786332,1343361
1765786338,1320092
1765786344,1296823
1765786350,1279010
1765786356,1265563
1765786362,1252566
1765786368,1267475
1765786374,1282384
1765786380,1288400
1765786386,1284636
1765786392,1280871
1765786398,1291838
1765786404,1303804
1765786410,1309423
1765786416,1305394
1765786422,1301366
1765786428,1298503
1765786434,1295835
1765786440,1297918
1765786446,1310219
1765786452,1322520
1765786458,1343231
1765786464,1366345
1765786470,1383487
1765786476,1381517
1765786482,1379546
1765786488,1371562
1765786494,1360981
1765786500,1349244
1765786506,1331374
1765786512,1313504
1765786518,1314896
1765786524,1328140
1765786530,1342802
1765786536,1373908
1765786542,1405014
1765786548,1413675
1765786554,1403192
1765786560,1392708
