timestamp,total_memory
1756710000,404186
1756710006,452805
1756710012,501425
1756710018,550044
1756710024,598664
1756710030,647283
1756710036,646880
1756710042,646477
1756710048,646074
1756710054,645671
1756710060,645268
1756710066,647549
1756710072,649830
1756710078,652111
1756710084,654392
1756710090,656673
1756710096,637675
1756710102,618677
1756710108,599678
1756710114,580680
1756710120,561682
1756710126,572382
1756710132,583082
1756710138,593782
1756710144,604482
1756710150,615182
1756710156,614747
1756710162,614312
1756710168,613876
1756710174,613441
1756710180,613006
1756710186,616480
1756710192,619954
1756710198,623429
1756710204,626903
1756710210,630377
1756710216,635260
1756710222,640143
1756710228,645027
1756710234,649910
1756710240,654793
1756710246,657837
1756710252,660881
1756710258,663925
1756710264,666969
1756710270,670013
1756710276,671930
1756710282,673847
1756710288,675763
1756710294,677680
1756710300,679597
1756710306,681643
1756710312,683689
1756710318,685735
1756710324,687781
1756710330,689827
1756710336,684409
1756710342,678992
1756710348,673574
1756710354,668157
1756710360,662739
1756710366,655538
1756710372,648338
1756710378,641137
1756710384,633937
1756710390,626736
1756710396,629528
1756710402,632321
1756710408,635113
1756710414,637906
1756710420,640698
1756710426,640463
1756710432,640228
1756710438,639992
1756710444,639757
1756710450,639522
1756710456,645053
1756710462,650584
1756710468,656116
1756710474,661647
1756710480,667178
1756710486,670736
1756710492,674293
1756710498,677851
1756710504,681408
1756710510,684966
1756710516,686635
1756710522,688304
1756710528,689972
1756710534,691641
1756710540,693310
1756710546,688126
1756710552,682942
1756710558,677758
1756710564,672574
1756710570,667390
1756710576,659603
1756710582,651817
1756710588,644030
1756710594,636244
1756710600,628457
1756710606,622492
1756710612,616527
1756710618,610561
1756710624,604596
1756710630,598631
1756710636,608252
1756710642,617873
1756710648,627493
1756710654,637114
1756710660,646735
1756710666,652063
1756710672,657391
1756710678,662718
1756710684,668046
1756710690,673374
1756710696,676841
1756710702,680308
1756710708,683776
1756710714,687243
1756710720,690710
1756710726,692442
1756710732,694174
1756710738,695906
1756710744,697638
1756710750,699370
1756710756,694200
1756710762,689031
1756710768,683861
1756710774,678692
1756710780,673522
1756710786,662011
1756710792,650500
1756710798,638990
1756710804,627479
1756710810,615968
