timestamp,total_memory,java_heap,native_heap,code,stack,graphics
1709822591,230721,85936,25992,80040,1936,25888
1709822623,655071,39288,323992,89972,5480,174344
1709822655,728135,69560,347780,90136,5116,194388
1709822687,698528,54252,334912,90408,3256,194676
1709822719,691404,40168,336444,90408,2632,200836
1709822751,699720,41004,337752,90408,2648,206996
1709822784,698583,41944,339780,90408,2648,202908
1709822816,702235,41308,339932,90408,2648,207024
1709822848,703931,43620,339152,90476,2668,207044
1709822880,695647,40024,339108,90464,2668,202408
1709822912,695185,40008,338336,90668,2776,202412
1709822944,692845,39044,337032,90668,2776,203228
1709822976,693827,39936,336976,90668,2660,203484
1709823008,697111,38284,337628,90668,2580,207848
1709823040,692811,38204,337504,90668,2580,203752
1709823072,697459,39608,340500,90668,2580,204008
1709823104,704971,44020,343588,90668,2580,204008
1709823136,703367,41404,344272,90668,2604,204264
1709823168,721263,42072,345712,90668,2604,220052
1709823200,716007,40808,341716,90668,2604,220052
1709823232,719377,41088,345684,90588,2604,220032
1709823264,739994,43484,356516,90552,2580,227496
1709823296,734686,40004,354684,90552,2580,227504
1709823328,734046,40232,353564,90552,2580,227760
1709823360,743278,40920,358520,90552,2580,231348
1709823392,698166,40032,316432,90580,2580,229184
1709823424,695422,40008,315760,90580,2580,227136
1709823456,695937,40280,316016,90572,2604,227108
1709823488,696205,40192,316092,90572,2604,227384
1709823520,699503,42060,317388,90560,2580,227616
1709823552,698319,40708,317296,90560,2580,227876
1709823584,699458,40672,317508,90480,2588,228908
1709823616,699550,40492,317268,90480,2588,229420
1709823647,703336,41104,317900,90472,2588,231980
1709823680,704580,42404,318868,90472,2588,230956
1709823711,704081,41952,320064,90472,2604,229660
1709823743,702241,41872,319560,90472,2628,228380
1709823775,703885,42236,320576,90472,2636,228636
1709823807,690135,48932,321528,90472,2612,207260
1709823839,682583,44012,318896,90472,2612,207260
1709823871,686331,44760,321896,90472,2612,207260
1709823903,689399,45392,324048,90472,2612,207544
1709823935,698143,47228,326844,90472,2612,211656
1709823967,709359,50172,334072,90472,2684,212608
1709823999,697259,45288,328900,90472,2692,210556
1709824031,694027,43328,326580,90472,2644,211660
1709824063,716375,47816,329260,90472,2644,226840
1709824095,704207,46104,331944,90472,2620,213720
1709824127,706075,45520,332160,90472,2620,215956
1709824159,712343,45820,332852,90472,2620,221232
1709824191,714299,46344,331948,90472,2620,223568
1709824223,716359,44912,334140,90472,2620,224868
1709824255,725848,46672,337800,90456,2644,228904
1709824287,732552,46484,341104,90456,2644,232536
1709824319,763852,49612,343404,90456,2620,258428
1709824351,740204,46960,342288,90456,2620,238548
1709824383,739580,46028,342168,90456,2620,238980
1709824415,763716,45768,341988,90456,2620,263556
1709824447,742596,46756,343264,90456,2620,240124
1709824479,752824,47104,348432,90456,2620,244836
1709824511,792972,49336,349764,90456,2620,281416
1709824543,757408,47608,350232,90456,2620,247112
