timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1780128567,477986,64472,168036,87176,4584,138856,0.0
1780128573,534668,29388,205856,88548,4632,189692,103.50914962325082
1780128579,869199,38916,461820,89388,5440,256244,357.439446366782
1780128585,775182,44564,413592,89516,6356,203496,281.57019294743844
1780128590,717990,28676,434528,89676,6072,141588,272.24080267558526
1780128597,727918,45980,426452,89676,6608,141588,226.3457330415755
1780128602,812693,27140,530272,89676,6380,141588,164.0008622547963
1780128608,898016,36088,528180,89680,6392,220676,191.97930142302718
1780128614,904824,56988,500944,89556,6496,232700,173.61344537815125
1780128620,922032,36360,542792,89620,6488,228628,153.70571614866333
1780128626,901656,55628,500460,89744,6676,230376,193.38635412306405
1780128632,906872,49568,500648,89744,6604,241508,98.50939727802981
1780128638,890564,34864,499484,89744,6144,241508,82.06440605672852
1780128644,898600,41184,502460,89776,5776,240584,98.72340425531915
1780128650,892956,35104,502844,89776,5776,240616,86.23063683304647
1780128656,891212,35300,502576,89776,5384,239424,83.78548895899054
1780128662,893816,36096,502544,89780,5356,241284,78.5472972972973
1780128668,900129,35036,503972,89776,5288,247300,82.39983217956787
1780128674,893733,35024,503932,89788,5192,241028,78.48925548079009
1780128680,909385,36812,503548,89788,5112,255360,98.91281176721381
1780128686,907640,35132,503928,89788,4720,255360,82.8651082993781
1780128692,899124,34636,502036,89788,4720,249216,82.2683030046551
1780128698,903140,35048,505768,89788,4720,249088,88.48874598070739
1780128704,918056,42088,507472,89788,4736,255232,103.28598685605257
1780128710,902331,35184,504676,89788,4724,249216,79.48936170212765
1780128716,910751,37436,509588,89776,4876,250296,101.45672664952872
1780128722,908875,34960,511444,89784,4804,249104,82.62350936967631
1780128728,907775,33524,511388,89776,4804,249232,79.86348122866895
1780128734,908733,33900,511532,89784,4804,249884,78.26810990840966
1780128740,907636,34796,510052,89784,4804,249348,78.33927448102328
1780128746,965540,36516,566232,89784,4804,249348,125.36929993577392
1780128752,930284,34488,514268,89784,4804,268072,96.40008622547963
1780128758,952332,35928,540928,89784,4896,261928,91.93445413917854
1780128764,954124,41084,537684,89784,4884,261800,74.91582491582491
1780128770,946180,34628,536064,89784,4884,261928,65.83667440388268
1780128776,945888,34432,536356,89788,4648,261800,63.51672060409924
1780128782,946360,34968,536292,89788,4648,261800,60.122440363099
1780128788,953836,35116,538652,89796,4648,266748,64.84174508126604
1780128794,949772,36032,538640,89796,4532,261928,70.01675041876047
1780128800,948424,36144,537308,89796,4520,261800,70.12492060131272
1780128806,953292,39488,538420,89796,4788,261928,88.68282402528978
1780128812,954980,36680,538076,89796,4684,266876,86.95277118826827
1780128818,959148,38400,541184,89796,4724,266168,90.10941857970393
1780128824,906356,41556,531160,89788,4740,220196,89.51526799060431
1780128830,907100,37960,536932,89788,4796,218700,109.31362196409715
1780128836,933296,37436,538340,89784,4796,244012,123.44013490725128
1780128842,934416,36692,540052,89796,4796,244140,96.43086129514855
1780128848,946569,36804,552048,89796,4780,244216,112.42328042328043
1780128854,927868,33692,540304,89796,4768,240360,77.30526315789473
1780128860,927832,33664,540672,89796,4768,239976,75.04187604690117
1780128866,978780,33812,574780,89796,4592,256872,94.77707006369427
1780128872,931972,34136,544320,89796,4560,240232,100.36208732694357
1780128878,929752,34464,541628,89796,4560,240360,74.93627867459644
1780128884,961792,43048,544776,89796,4576,260640,105.89469267883365
1780128890,936628,36920,543312,89784,4564,243072,83.62486828240253
1780128896,937804,38096,542900,89792,4820,243212,85.78088578088578
1780128902,935472,36560,542176,89784,4748,243212,82.10794730131747
1780128908,933896,35580,541576,89784,4748,243212,77.59197324414716
1780128914,955876,36372,542164,89788,4840,263692,89.25053533190578
1780128920,956220,36580,542308,89788,4828,263692,83.8062726690847
1780128926,955692,36452,542032,89788,4828,263564,85.04473796335748
1780128931,937112,36940,543440,89788,4828,243084,86.50927487352446
1780128937,926596,35480,534360,89788,4840,243084,92.9876753081173
1780128943,932800,41688,529960,89788,4828,247472,93.03492993097679
1780128949,949448,36268,531548,89788,4828,267952,92.40017174753113
1780128955,927264,35404,531020,89788,4664,247344,78.71136264693078
1780128961,926852,35316,530436,89788,4664,247600,75.62776957163959
1780128967,927948,35732,531064,89788,4588,247728,78.50311850311851
1780128973,927080,35492,530756,89792,4520,247472,75.4748486745982
1780128979,927201,35424,530936,89800,4508,247472,79.41114616193481
1780128985,932777,37552,534240,89800,4760,247344,95.65031069209343
1780128991,926517,36636,528968,89800,4688,247344,126.48421052631579
1780128997,928833,37076,530716,89800,4688,247472,91.47221043699618
1780129003,942265,42024,530720,89800,4688,255940,94.52256033578175
1780129009,935013,35512,529668,89800,4748,256196,73.64651358752896
1780129015,936473,35632,530992,89800,4748,256196,78.40168243953734
1780129021,938469,36976,531768,89800,4748,256068,91.81173436492585
1780129027,956009,35640,530236,89804,4600,276676,86.81769147788565
1780129033,931509,34996,526904,89804,4672,256068,74.32150313152401
1780129039,932965,35852,527260,89804,4660,256324,72.17665615141956
1780129045,934100,35948,528624,89804,4368,256324,77.8203490847169
1780129051,948932,33104,526080,89804,4368,276548,71.27365511375717
1780129057,930900,34152,527220,89804,4368,256324,81.31365620453128
1780129063,937136,40340,527036,89792,4460,256452,87.44734625105308
