timestamp,total_memory
1769932800,58694
1769932806,168994
1769932812,279294
1769932818,389595
1769932824,499895
1769932830,610195
1769932836,625373
1769932842,640552
1769932848,655730
1769932854,670909
1769932860,686087
1769932866,671431
1769932872,656775
1769932878,642119
1769932884,627463
1769932890,612807
1769932896,643666
1769932902,674525
1769932908,705385
1769932914,736244
1769932920,767103
1769932926,762927
1769932932,758751
1769932938,754575
1769932944,750399
1769932950,746223
1769932956,748496
1769932962,750769
1769932968,753041
1769932974,755314
1769932980,757587
1769932986,775053
1769932992,792519
1769932998,809986
1769933004,827452
1769933010,844918
1769933016,834726
1769933022,824534
1769933028,814343
1769933034,804151
1769933040,793959
1769933046,802805
1769933052,811651
1769933058,820498
1769933064,829344
1769933070,838190
1769933076,849056
1769933082,859921
1769933088,870787
1769933094,881652
1769933100,892518
1769933106,884740
1769933112,876961
1769933118,869183
1769933124,861404
1769933130,853626
1769933136,863295
1769933142,872964
1769933148,882634
1769933154,892303
1769933160,901972
1769933166,913752
1769933172,925532
1769933178,937311
1769933184,949091
1769933190,960871
1769933196,952413
1769933202,943956
1769933208,935498
1769933214,927041
1769933220,918583
1769933226,925227
1769933232,931871
1769933238,938516
1769933244,945160
1769933250,951804
1769933256,957992
1769933262,964179
1769933268,970367
1769933274,976554
1769933280,982742
1769933286,971376
1769933292,960011
1769933298,948645
1769933304,937280
1769933310,925914
1769933316,933769
1769933322,941624
1769933328,949480
1769933334,957335
1769933340,965190
1769933346,972826
1769933352,980462
1769933358,988099
1769933364,995735
1769933370,1003371
1769933376,991847
1769933382,980322
1769933388,968798
1769933394,957273
1769933400,945749
1769933406,956855
1769933412,967961
1769933418,979068
1769933424,990174
1769933430,1001280
