timestamp,total_memory
1769932800,71889
1769932806,228157
1769932812,384426
1769932818,540694
1769932824,696963
1769932830,853231
1769932836,857457
1769932842,861683
1769932848,865908
1769932854,870134
1769932860,874360
1769932866,875498
1769932872,876637
1769932878,877775
1769932884,878914
1769932890,880052
1769932896,880868
1769932902,881684
1769932908,882499
1769932914,883315
1769932920,884131
1769932926,882677
1769932932,881224
1769932938,879770
1769932944,878317
1769932950,876863
1769932956,876575
1769932962,876287
1769932968,875998
1769932974,875710
1769932980,875422
1769932986,873361
1769932992,871300
1769932998,869239
1769933004,867178
1769933010,865117
1769933016,870048
1769933022,874979
1769933028,879911
1769933034,884842
1769933040,889773
1769933046,890361
1769933052,890949
1769933058,891537
1769933064,892125
1769933070,892713
1769933076,890025
1769933082,887337
1769933088,884649
1769933094,881961
1769933100,879273
1769933106,878654
1769933112,878035
1769933118,877415
1769933124,876796
1769933130,876177
1769933136,877074
1769933142,877971
1769933148,878869
1769933154,879766
1769933160,880663
1769933166,884316
1769933172,887968
1769933178,891621
1769933184,895273
1769933190,898926
1769933196,896773
1769933202,894620
1769933208,892468
1769933214,890315
1769933220,888162
1769933226,886025
1769933232,883888
1769933238,881752
1769933244,879615
1769933250,877478
1769933256,879500
1769933262,881521
1769933268,883543
1769933274,885564
1769933280,887586
1769933286,887053
1769933292,886520
1769933298,885988
1769933304,885455
1769933310,884922
1769933316,880052
1769933322,875183
1769933328,870313
1769933334,865444
1769933340,860574
1769933346,864392
1769933352,868209
1769933358,872027
1769933364,875844
1769933370,879662
1769933376,877662
1769933382,875661
1769933388,873661
1769933394,871660
1769933400,869660
1769933406,867481
1769933412,865303
1769933418,863124
1769933424,860946
1769933430,858767
1769933436,857855
1769933442,856943
1769933448,856032
1769933454,855120
1769933460,854208
1769933466,856300
1769933472,858392
1769933478,860483
1769933484,862575
1769933490,864667
1769933496,861772
1769933502,858877
1769933508,855981
1769933514,853086
1769933520,850191
1769933526,850417
1769933532,850643
1769933538,850868
1769933544,851094
1769933550,851320
1769933556,827038
1769933562,802757
1769933568,778475
1769933574,754194
1769933580,729912
1769933586,730601
1769933592,731291
1769933598,731980
1769933604,732670
1769933610,733359
1769933616,731904
1769933622,730449
1769933628,728994
1769933634,727539
1769933640,726084
1769933646,724859
1769933652,723634
1769933658,722408
1769933664,721183
1769933670,719958
1769933676,721124
1769933682,722291
1769933688,723457
1769933694,724624
1769933700,725790
1769933706,724421
1769933712,723052
1769933718,721684
1769933724,720315
1769933730,718946
1769933736,720496
1769933742,722047
1769933748,723597
1769933754,725148
1769933760,726698
1769933766,725801
1769933772,724905
1769933778,724008
1769933784,723112
1769933790,722215
1769933796,723357
1769933802,724499
1769933808,725642
1769933814,726784
