timestamp,total_memory
1769932800,96855
1769932806,219782
1769932812,342709
1769932818,465635
1769932824,588562
1769932830,711489
1769932836,687155
1769932842,662822
1769932848,638488
1769932854,614155
1769932860,589821
1769932866,586072
1769932872,582323
1769932878,578575
1769932884,574826
1769932890,571077
1769932896,574087
1769932902,577097
1769932908,580107
1769932914,583117
1769932920,586127
1769932926,593137
1769932932,600146
1769932938,607156
1769932944,614165
1769932950,621175
1769932956,621757
1769932962,622338
1769932968,622920
1769932974,623501
1769932980,624083
1769932986,615281
1769932992,606478
1769932998,597676
1769933004,588873
1769933010,580071
1769933016,579930
1769933022,579789
1769933028,579649
1769933034,579508
1769933040,579367
1769933046,579483
1769933052,579599
1769933058,579715
1769933064,579831
1769933070,579947
1769933076,588505
1769933082,597062
1769933088,605620
1769933094,614177
1769933100,622735
1769933106,615437
1769933112,608140
1769933118,600842
1769933124,593545
1769933130,586247
1769933136,586333
1769933142,586420
1769933148,586506
1769933154,586593
1769933160,586679
1769933166,586269
1769933172,585860
1769933178,585450
1769933184,585041
1769933190,584631
1769933196,584967
1769933202,585303
1769933208,585639
1769933214,585975
1769933220,586311
1769933226,594484
1769933232,602658
1769933238,610831
1769933244,619005
1769933250,627178
1769933256,627110
1769933262,627042
1769933268,626974
1769933274,626906
1769933280,626838
1769933286,618862
1769933292,610886
1769933298,602910
1769933304,594934
1769933310,586958
1769933316,587078
1769933322,587198
1769933328,587318
1769933334,587438
1769933340,587558
1769933346,587092
1769933352,586627
1769933358,586161
1769933364,585696
1769933370,585230
1769933376,585407
1769933382,585584
1769933388,585760
1769933394,585937
1769933400,586114
1769933406,586577
1769933412,587040
1769933418,587504
1769933424,587967
1769933430,588430
