timestamp,total_memory
1761984000,222386
1761984006,425685
1761984012,628984
1761984018,670101
1761984024,711218
1761984030,750286
1761984036,789354
1761984042,764063
1761984048,738772
1761984054,764748
1761984060,790725
1761984066,812911
1761984072,835097
1761984078,838425
1761984084,841753
1761984090,829032
1761984096,816311
1761984102,844565
1761984108,872819
1761984114,888716
1761984120,904612
1761984126,881610
1761984132,858609
1761984138,855910
1761984144,853210
1761984150,853740
1761984156,854270
1761984162,868896
1761984168,883522
1761984174,892776
1761984180,902030
1761984186,923426
1761984192,944821
1761984198,868165
1761984204,791509
1761984210,805889
1761984216,820269
1761984222,852594
1761984228,884919
1761984234,915054
1761984240,945189
1761984246,934823
1761984252,924457
1761984258,910918
1761984264,897378
1761984270,897373
1761984276,897368
1761984282,927200
1761984288,957032
1761984294,943808
1761984300,930585
1761984306,911752
1761984312,892920
1761984318,905532
1761984324,918143
1761984330,932349
1761984336,946556
1761984342,943893
1761984348,941230
1761984354,926426
1761984360,911622
1761984366,939114
1761984372,966606
1761984378,983207
1761984384,999808
1761984390,952254
1761984396,904699
1761984402,910197
1761984408,915695
1761984414,928867
1761984420,942039
1761984426,957562
1761984432,973084
1761984438,930623
1761984444,888162
1761984450,917372
1761984456,946582
1761984462,936048
1761984468,925515
1761984474,942514
1761984480,959513
1761984486,968222
1761984492,976932
1761984498,931932
1761984504,886932
1761984510,921016
1761984516,955100
1761984522,962860
1761984528,970619
1761984534,971036
1761984540,971454
1761984546,965028
1761984552,958602
1761984558,962969
1761984564,967336
1761984570,957725
1761984576,948113
1761984582,959260
1761984588,970406
1761984594,957592
1761984600,944778
1761984606,946352
1761984612,947925
1761984618,960116
1761984624,972307
1761984630,967016
1761984636,961725
1761984642,967152
1761984648,972578
1761984654,981462
1761984660,990345
1761984666,997320
1761984672,1004294
1761984678,1005051
1761984684,1005808
1761984690,975398
1761984696,944987
1761984702,933955
1761984708,922923
1761984714,963307
1761984720,1003691
1761984726,1004206
1761984732,1004721
1761984738,1002648
1761984744,1000575
1761984750,973478
1761984756,946381
1761984762,971821
1761984768,997261
1761984774,1017463
1761984780,1037665
1761984786,1029271
1761984792,1020878
1761984798,995627
1761984804,970376
1761984810,990281
1761984816,1010186
1761984822,1034072
1761984828,1057957
1761984834,1043646
1761984840,1029334
1761984846,1047283
1761984852,1065232
1761984858,1044546
1761984864,1023861
1761984870,1033736
1761984876,1043611
1761984882,1047288
1761984888,1050965
1761984894,1029550
1761984900,1008135
1761984906,1016866
1761984912,1025597
1761984918,1044936
1761984924,1064274
1761984930,1046477
1761984936,1028679
1761984942,1008000
1761984948,987321
1761984954,1030368
1761984960,1073414
