timestamp,total_memory
1761984000,223912
1761984006,311555
1761984012,399198
1761984018,486841
1761984024,574484
1761984030,662127
1761984036,656536
1761984042,650945
1761984048,645355
1761984054,639764
1761984060,634173
1761984066,635909
1761984072,637645
1761984078,639380
1761984084,641116
1761984090,642852
1761984096,645187
1761984102,647521
1761984108,649856
1761984114,652190
1761984120,654525
1761984126,650854
1761984132,647184
1761984138,643513
1761984144,639843
1761984150,636172
1761984156,641874
1761984162,647576
1761984168,653279
1761984174,658981
1761984180,664683
1761984186,671755
1761984192,678826
1761984198,685898
1761984204,692969
1761984210,700041
1761984216,708929
1761984222,717817
1761984228,726706
1761984234,735594
1761984240,744482
1761984246,725457
1761984252,706431
1761984258,687406
1761984264,668380
1761984270,649355
1761984276,656378
1761984282,663402
1761984288,670425
1761984294,677449
1761984300,684472
1761984306,681827
1761984312,679182
1761984318,676537
1761984324,673892
1761984330,671247
1761984336,670676
1761984342,670106
1761984348,669535
1761984354,668965
1761984360,668394
1761984366,672795
1761984372,677197
1761984378,681598
1761984384,686000
1761984390,690401
1761984396,685544
1761984402,680687
1761984408,675829
1761984414,670972
1761984420,666115
1761984426,669212
1761984432,672309
1761984438,675406
1761984444,678503
1761984450,681600
1761984456,687226
1761984462,692852
1761984468,698477
1761984474,704103
1761984480,709729
1761984486,698090
1761984492,686451
1761984498,674812
1761984504,663173
1761984510,651534
1761984516,654816
1761984522,658098
1761984528,661381
1761984534,664663
1761984540,667945
1761984546,668411
1761984552,668877
1761984558,669344
1761984564,669810
1761984570,670276
1761984576,666012
1761984582,661749
1761984588,657485
1761984594,653222
1761984600,648958
1761984606,654818
1761984612,660678
1761984618,666537
1761984624,672397
1761984630,678257
1761984636,682558
1761984642,686859
1761984648,691161
1761984654,695462
1761984660,699763
1761984666,696461
1761984672,693160
1761984678,689858
1761984684,686557
1761984690,683255
1761984696,683454
1761984702,683653
1761984708,683852
1761984714,684051
1761984720,684250
1761984726,690891
1761984732,697532
1761984738,704173
1761984744,710814
1761984750,717455
1761984756,711139
1761984762,704824
1761984768,698508
1761984774,692193
1761984780,685877
