timestamp,total_memory
1761984000,213093
1761984006,327063
1761984012,441034
1761984018,555004
1761984024,668975
1761984030,782945
1761984036,803417
1761984042,823889
1761984048,844361
1761984054,864833
1761984060,885305
1761984066,879049
1761984072,872793
1761984078,866536
1761984084,860280
1761984090,854024
1761984096,852573
1761984102,851122
1761984108,849670
1761984114,848219
1761984120,846768
1761984126,848730
1761984132,850691
1761984138,852653
1761984144,854614
1761984150,856576
1761984156,850694
1761984162,844811
1761984168,838929
1761984174,833046
1761984180,827164
1761984186,828680
1761984192,830196
1761984198,831712
1761984204,833228
1761984210,834744
1761984216,839057
1761984222,843369
1761984228,847682
1761984234,851994
1761984240,856307
1761984246,852503
1761984252,848699
1761984258,844894
1761984264,841090
1761984270,837286
1761984276,835709
1761984282,834132
1761984288,832556
1761984294,830979
1761984300,829402
1761984306,830073
1761984312,830744
1761984318,831416
1761984324,832087
1761984330,832758
1761984336,833697
1761984342,834636
1761984348,835576
1761984354,836515
1761984360,837454
1761984366,835090
1761984372,832725
1761984378,830361
1761984384,827996
1761984390,825632
1761984396,825574
1761984402,825515
1761984408,825457
1761984414,825398
1761984420,825340
1761984426,825534
1761984432,825728
1761984438,825922
1761984444,826116
1761984450,826310
1761984456,825140
1761984462,823969
1761984468,822799
1761984474,821628
1761984480,820458
1761984486,823034
1761984492,825610
1761984498,828186
1761984504,830762
1761984510,833338
1761984516,835245
1761984522,837152
1761984528,839059
1761984534,840966
1761984540,842873
1761984546,838580
1761984552,834288
1761984558,829995
1761984564,825703
1761984570,821410
1761984576,822812
1761984582,824213
1761984588,825615
1761984594,827016
1761984600,828418
1761984606,826754
1761984612,825090
1761984618,823426
1761984624,821762
1761984630,820098
1761984636,822738
1761984642,825377
1761984648,828017
1761984654,830656
1761984660,833296
1761984666,832478
1761984672,831659
1761984678,830841
1761984684,830022
1761984690,829204
1761984696,828650
1761984702,828095
1761984708,827541
1761984714,826986
1761984720,826432
1761984726,828621
1761984732,830810
1761984738,832998
1761984744,835187
1761984750,837376
1761984756,839713
1761984762,842050
1761984768,844386
1761984774,846723
1761984780,849060
1761984786,848536
1761984792,848012
1761984798,847488
1761984804,846964
1761984810,846440
1761984816,845335
1761984822,844230
1761984828,843126
1761984834,842021
1761984840,840916
1761984846,842369
