timestamp,total_memory
1761984000,244684
1761984006,315027
1761984012,385370
1761984018,455713
1761984024,526056
1761984030,596399
1761984036,589789
1761984042,583179
1761984048,576568
1761984054,569958
1761984060,563348
1761984066,556442
1761984072,549537
1761984078,542631
1761984084,535726
1761984090,528820
1761984096,528518
1761984102,528216
1761984108,527915
1761984114,527613
1761984120,527311
1761984126,527374
1761984132,527436
1761984138,527499
1761984144,527561
1761984150,527624
1761984156,532494
1761984162,537364
1761984168,542234
1761984174,547104
1761984180,551974
1761984186,547216
1761984192,542458
1761984198,537700
1761984204,532942
1761984210,528184
1761984216,528027
1761984222,527870
1761984228,527712
1761984234,527555
1761984240,527398
1761984246,527660
1761984252,527922
1761984258,528184
1761984264,528446
1761984270,528708
1761984276,528779
1761984282,528850
1761984288,528922
1761984294,528993
1761984300,529064
1761984306,528935
1761984312,528806
1761984318,528678
1761984324,528549
1761984330,528420
1761984336,528627
1761984342,528835
1761984348,529042
1761984354,529250
1761984360,529457
1761984366,529769
1761984372,530080
1761984378,530392
1761984384,530703
1761984390,531015
1761984396,530772
1761984402,530529
1761984408,530286
1761984414,530043
1761984420,529800
1761984426,529887
1761984432,529974
1761984438,530062
1761984444,530149
1761984450,530236
1761984456,530232
1761984462,530227
1761984468,530223
1761984474,530218
1761984480,530214
1761984486,534988
1761984492,539761
1761984498,544535
1761984504,549308
1761984510,554082
1761984516,549244
1761984522,544406
1761984528,539568
1761984534,534730
1761984540,529892
1761984546,529962
1761984552,530033
1761984558,530103
1761984564,530174
1761984570,530244
1761984576,530196
1761984582,530149
1761984588,530101
1761984594,530054
1761984600,530006
1761984606,534987
1761984612,539968
1761984618,544948
1761984624,549929
1761984630,554910
1761984636,554884
1761984642,554858
1761984648,554833
1761984654,554807
1761984660,554781
1761984666,549884
1761984672,544987
1761984678,540091
1761984684,535194
1761984690,530297
1761984696,530438
1761984702,530578
1761984708,530719
1761984714,530859
1761984720,531000
1761984726,531232
1761984732,531465
1761984738,531697
1761984744,531930
1761984750,532162
1761984756,532060
1761984762,531958
1761984768,531856
1761984774,531754
1761984780,531652
